year,sample_question_id,normalized_question,question_text,topic,source_file,occurrence_count,first_line
3rd Year,5ebc2ae3fbcc,explain heap sort with suitable examples,Explain Heap sort with suitable examples.,Q1.,CSE-3rd-year.pdf,1,7502
3rd Year,ddb1b86b4914,explain how one can check the intelligence of a machine,Explain how one can check the intelligence of a machine?,ARTIFICIAL INTELLIGENCE,CSE-3rd-year.pdf,1,5095
3rd Year,541f8c8a8c96,explain how rasterization accuracy is preserved despite using integer arithmetic,Explain how rasterization accuracy is preserved despite using integer arithmetic?,COMPUTER GRAPHICS,CSE-3rd-year.pdf,1,655
3rd Year,592a17a9e0a4,explain how the transfer protocol clients servers are configured discuss the various ftp and telnet commands,Explain how the transfer protocol clients servers are configured. Discuss the various FTP and telnet commands.,UNIT-V,CSE-3rd-year.pdf,1,5656
3rd Year,75d23be5da6e,explain how they can be,Explain how they can be,APPLE,CSE-3rd-year.pdf,1,149
3rd Year,1532342939e3,explain how to display file structure and control test,Explain how to display file structure and control test?,GRAPHICS,CSE-3rd-year.pdf,1,1954
3rd Year,a1692cb50155,explain in detail,Explain in detail.,UNIT - IV,CSE-3rd-year.pdf,1,2865
3rd Year,8ca7cdd1584c,explain in detail dda algorithm of line,Explain in detail DDA algorithm of line?,GRAPHICS,CSE-3rd-year.pdf,1,1958
3rd Year,f1173d239cd3,explain in detail travelling salesman,Explain in detail travelling salesman,Q5.,CSE-3rd-year.pdf,1,7623
3rd Year,13fb82eaf15f,explain interface hierarchies with,Explain interface hierarchies with,203-30T,CSE-3rd-year.pdf,1,4445
3rd Year,738e5db15773,explain it with suitable,Explain it with suitable,TCS-605/000/3 1980,CSE-3rd-year.pdf,1,4407
3rd Year,e11d5911bedf,explain it with suitable examples,Explain it with suitable examples.,TCS-605/000/3 1980,CSE-3rd-year.pdf,1,4361
3rd Year,11e28baf8a8e,explain it with the help of suitable diagram and how much time is spent scanning across each row of pixels during screen refresh on a raster system with a resolution of,explain it with the help of suitable diagram And how much time is spent scanning across each row of pixels during screen refresh on a raster system with a resolution of 640*480,"P2(28,22).",CSE-3rd-year.pdf,1,1895
3rd Year,f8e6811f6cab,explain iterative deepening depth first search algorithm,Explain iterative deepening depth first search algorithm?,(C),CSE-3rd-year.pdf,1,448
3rd Year,a76f4eb8d5f3,explain its application and working,Explain its application and working.,10X 2,CSE-3rd-year.pdf,1,457
3rd Year,0e689b43dd7a,explain its architecture with suitable diagram in qu,Explain its architecture with suitable diagram. In qu,ARTIFICIAL INTELLIGENCE,CSE-3rd-year.pdf,1,5107
3rd Year,fa45aff395a3,explain its capabilities also mention the name,"Explain its capabilities, also Mention the name",Q4.,CSE-3rd-year.pdf,1,1436
3rd Year,ccf705868c02,explain its importance,Explain its importance.,[P.T.O.],CSE-3rd-year.pdf,1,1583
3rd Year,75319181ccfe,explain its installing process and two execution types or,Explain its installing process and two execution types or,DATA ANALYTICS,CSE-3rd-year.pdf,1,6930
3rd Year,f77da057d0c0,explain its significance in ai reasoning under uncertainty what is the role of conditional probability in bayesian networks,explain its significance in AI reasoning under uncertainty.  (ii) What is the role of conditional probability in Bayesian networks?,ARTIFICIAL INTELLIGENCE,CSE-3rd-year.pdf,1,51
3rd Year,23d42b8d4ffe,explain knowledge based agent with example,Explain knowledge based agent with example.,APPLE,CSE-3rd-year.pdf,1,157
3rd Year,da5c1b45a54f,explain liang barsky line clipping algorithm,Explain Liang barsky line clipping algorithm..,PTO,CSE-3rd-year.pdf,1,2032
3rd Year,261db50c3727,explain lisp and prolog conditional statements constructs with suitable programming illustration,Explain LISP and PROLOG conditional statements constructs with suitable programming illustration.,DS-1079],CSE-3rd-year.pdf,1,5162
3rd Year,9a1a2b2c7b3d,explain list any two applications,Explain. List any  two applications.,ANALYSIS OF ALGORITHMS,CSE-3rd-year.pdf,1,3063
3rd Year,7dcae3c82df3,explain machine dependent and,Explain machine dependent and,"EVEN SEMESTER EXAMINATION, 2023 – 24",CSE-3rd-year.pdf,1,1073
3rd Year,357685aac280,explain master s theorem,Explain Master's Theorem.,Q1.,CSE-3rd-year.pdf,1,7516
3rd Year,a31c6370d800,explain merge sort technique discuss the time complexity of merge sort f explain strassen s matrix multiplication and its time complexity,Explain Merge sort technique. Discuss the time complexity of merge sort. f) Explain Strassen’s matrix multiplication and its time complexity.,ANALYSIS OF ALGORITHMS,CSE-3rd-year.pdf,1,3004
3rd Year,09e06ae0c3e8,explain multi agent planning with the help of example,Explain multi-agent planning with the help of example?,(E),CSE-3rd-year.pdf,1,402
3rd Year,ba195dab57de,explain n queens problem with an algorithm explain why backtracking is defined as a default procedure of last resort for solving problems,Explain N-queens problem with an algorithm. Explain why backtracking is defined as a default procedure of last resort for solving problems.,SECTION-3,CSE-3rd-year.pdf,1,6459
3rd Year,427e706e9c11,explain nagel s algorithm and,Explain Nagel's algorithm and,Q.4.,CSE-3rd-year.pdf,1,2514
3rd Year,48c1687bdbe0,explain performance issues for the following data link layer protocols,Explain performance issues for the following data link layer protocols:,WAN,CSE-3rd-year.pdf,1,2469
3rd Year,a3a7f699e8a5,explain propositional and predicate logic,Explain propositional and predicate logic?,(F),CSE-3rd-year.pdf,1,392
3rd Year,e7b1a9a70cc4,explain resolution process explain about a typical,Explain resolution process. Explain about a typical,UNIT-V,CSE-3rd-year.pdf,1,5661
3rd Year,fbef299def56,explain scanline fill algorithm with an example showing necessary vertex list edge,"Explain scanline fill algorithm with an example showing necessary vertex list, edge",COMPUTER GRAPHICS,CSE-3rd-year.pdf,1,648
3rd Year,33ce640e7fcd,explain semantic net frame with suitable example,Explain Semantic Net & Frame with suitable example.,[P.T.O.],CSE-3rd-year.pdf,1,175
3rd Year,51e130a71a6d,explain state space approach for solving any ai problem,Explain state space approach for solving any AI problem.,(D),CSE-3rd-year.pdf,1,376
3rd Year,75fff8663eab,explain strong slot filler with example,Explain Strong slot filler with example?,[P.T.O.],CSE-3rd-year.pdf,1,179
3rd Year,78b1c719e071,explain the application and working of ant,Explain the application and working of Ant,TCS-603/1800,CSE-3rd-year.pdf,1,291
3rd Year,62d7147bcf20,explain the basic concept of midpoint ellipse drawing algorithm derive the decision,Explain the basic concept of midpoint ellipse drawing algorithm. Derive the decision,COMPUTER GRAPHICS,CSE-3rd-year.pdf,1,663
3rd Year,b638a5788fa1,explain the brief various application areas of computer,Explain the brief various application areas of computer,(4X5=20),CSE-3rd-year.pdf,1,500
3rd Year,ceec8ee55544,explain the causes of,Explain the causes of,[P.T.O.],CSE-3rd-year.pdf,1,2232
3rd Year,57e75a14fbb5,explain the cohen sutherland line clipping algorithm,Explain the Cohen Sutherland Line Clipping Algorithm?,[P.T.O.],CSE-3rd-year.pdf,1,754
3rd Year,98eabeda23dd,explain the concept of fractured segment with suitable diagram if required you,Explain the concept of fractured segment with suitable diagram if required. You,GRAPHICS,CSE-3rd-year.pdf,1,2008
3rd Year,a56c58bf5325,explain the concept of input buffering with sentinel in lexical analysis,Explain the concept of input buffering with sentinel in lexical analysis.,SECTION-C,CSE-3rd-year.pdf,1,1601
3rd Year,d1b7cc001574,explain the concept of isomorphism and,Explain the concept of 1-isomorphism and,M03-29T,CSE-3rd-year.pdf,1,6079
3rd Year,d3955b603a96,explain the concept of planning with state space search with an example explain,Explain the concept of planning with state space search with an example. Explain,[P.T.O.],CSE-3rd-year.pdf,1,251
3rd Year,b2d168975702,explain the concept of reinforcement learning with a real world example b discuss different types of planning strategies in ai including state space search conditional planning continuous planning and multi agent planning how do these approaches handle dynamic environments and uncertainty,"explain the concept of reinforcement learning with a real-world example.  b) Discuss different types of planning strategies in AI, including state space search, conditional  planning, continuous planning, and multi-agent planning. How do these approaches handle dynamic  environments and uncertainty?",ARTIFICIAL INTELLIGENCE,CSE-3rd-year.pdf,1,67
3rd Year,c7937df91ff7,explain the congestion control mechanisms to regulate the traffic in a data network discuss rpc and various design issues of presentation layer and transport layer explain routing and bellman ford algorithm,Explain the congestion control mechanisms to regulate the traffic in a data network. Discuss RPC and various design issues of presentation layer and transport layer. Explain routing and bellman ford algorithm.,Q.4.,CSE-3rd-year.pdf,1,2493
3rd Year,c561c8e105ae,explain the construction of syntax tree with an,Explain the construction of syntax tree with an,BCST-602,CSE-3rd-year.pdf,1,4530
3rd Year,23446e1fa5c8,explain the context free grammar with suitable example,Explain the context free grammar with suitable example.,SECTION-C,CSE-3rd-year.pdf,1,1609
3rd Year,4186a0defb17,explain the dag representation of basic blocks value numbers and algebraic laws with the help of suitable example,"Explain the DAG representation of basic blocks, value numbers and algebraic laws with the help of suitable example.",SECTION-E,CSE-3rd-year.pdf,1,1680
3rd Year,8f9f0555ff9f,explain the different,Explain the different,CST021_005 |,CSE-3rd-year.pdf,1,2377
3rd Year,639b8a0907ea,explain the different display devices,Explain the different display devices?,GRAPHICS,CSE-3rd-year.pdf,1,1970
3rd Year,cbbaad24b479,explain the different polygon filling algorithms,Explain the different polygon filling algorithms.,GRAPHICS,CSE-3rd-year.pdf,1,1992
3rd Year,3888cb87f6e0,explain the different type of header supportted by ipv what is the difference,Explain the different type of header supportted by IPv6. What is the difference,[P.T.O.],CSE-3rd-year.pdf,1,2204
3rd Year,4e6fe53369b2,explain the display file structure,Explain the display file structure.,GRAPHICS,CSE-3rd-year.pdf,1,1978
3rd Year,e28bcb135d5c,explain the following expert system,Explain the following expert system:,(B),CSE-3rd-year.pdf,1,440
3rd Year,25fb971fda7b,explain the following uniformed search strategies,Explain the following uniformed search strategies:,DAS,CSE-3rd-year.pdf,1,3421
3rd Year,a8244463aede,explain the functions of session presentation and application layer in osi,"Explain the functions of session, presentation and application layer in OSI",[P.T.O.],CSE-3rd-year.pdf,1,2214
3rd Year,331ba9bee09c,explain the importance of intermediate code generation phase in phases complier what are the different issues that must be considered in the selection of intermediate,Explain the importance of intermediate code generation phase in phases complier. What are the different issues that must be considered in the selection of intermediate,SECTION-E,CSE-3rd-year.pdf,1,1671
3rd Year,ca2fb84a6617,explain the local access network design in details what are the name the four,Explain the Local Access Network Design in details. What are the name the four,COMPUTER NETWORK,CSE-3rd-year.pdf,1,2153
3rd Year,1f97712fb307,explain the logical phase error and syntatic phase error also suggest methods,Explain the logical Phase Error and Syntatic phase error. Also suggest methods,Q4.,CSE-3rd-year.pdf,1,1430
3rd Year,a90b6d18c13e,explain the method of hill climbing also explain the problems associated with hill climbing and possible solutions,Explain the method of Hill climbing. Also explain the problems associated with hill climbing and possible solutions.,ARTIFICIAL INTELLIGENCE,CSE-3rd-year.pdf,1,114
3rd Year,cacec6687692,explain the operations of union intersection exhsm isto and symmetric difference of two simple smit when loups vnes graphs with an example for each,"Explain the operations of union, intersection 00: exhsM Isto and symmetric difference of two simple smiT when loups vnes graphs with an example for each.",M03-29T,CSE-3rd-year.pdf,1,6005
3rd Year,8bc1845ed74c,explain the process of deletion in red black tree,Explain the process of deletion in red black tree.,[P.T.O.],CSE-3rd-year.pdf,1,6667
3rd Year,ac6ef87851f4,explain the setting up a hadoop cluster,Explain the setting up a Hadoop cluster,Q4.,CSE-3rd-year.pdf,1,4701
3rd Year,b1c386f09be2,explain the worst and best case time complexity of quick sort consider the quick sort algorithm with the last element chosen as the pivot if the goal is to sort the given a array a in ascending order how many swaps will occur during the execution of the algorithm,"Explain the worst and best case time complexity of Quick sort. Consider the Quick Sort algorithm with  the last element chosen as the pivot. If the goal is to sort the given a=[30,40,50,60,70,80]  array a=[30,40,50,60,70,80] in ascending order, how many swaps will occur during the execution of the  algorithm? (10 marks)",Q5.,CSE-3rd-year.pdf,1,7652
3rd Year,39f863d54f85,explain traveling salesman problem with,Explain traveling salesman problem with,[P.T.O.],CSE-3rd-year.pdf,1,6715
3rd Year,0acab42dee82,explain unification in predicate logic also discuss the steps of converting,Explain unification in predicate logic. Also discuss the steps of converting,[P.T.O.],CSE-3rd-year.pdf,1,167
3rd Year,583f1e408835,explain unix boot process yooo,Explain Unix boot process. yooo,P.T.O.,CSE-3rd-year.pdf,1,4189
3rd Year,388f41c78c75,explain v model in big data,Explain 5V model in Big Data?,DATA ANALYTICS,CSE-3rd-year.pdf,1,6870
3rd Year,b08ff6ed5b9c,explain various knowledge acquisition strategies with suitable examples,Explain various knowledge acquisition strategies with suitable examples.,DS-1079],CSE-3rd-year.pdf,1,5150
3rd Year,86f73aebe305,explain various methods for problem representation in artificial intelligence,Explain various methods for problem representation in artificial intelligence.,ARTIFICIAL INTELLIGENCE,CSE-3rd-year.pdf,1,5103
3rd Year,3cf63ff06a13,explain various quality of,Explain various Quality of,CST021_005 |,CSE-3rd-year.pdf,1,2366
3rd Year,c4aecb72f1ed,explain various steps in natural language processing with suitable diagram and examples,Explain various steps in natural language processing with suitable diagram and examples.,DS-1079],CSE-3rd-year.pdf,1,5137
3rd Year,51f824c0a978,explain visibility in detail,Explain visibility in detail.,GRAPHICS,CSE-3rd-year.pdf,1,2004
3rd Year,99dab6e7eea8,explain what do you mean by opengl api,Explain what do you mean by OpenGL API?,GRAPHICS,CSE-3rd-year.pdf,1,1982
3rd Year,5188eccd3883,explain with example,Explain with example,[P.T.O.],CSE-3rd-year.pdf,1,225
3rd Year,5188eccd3883,explain with example,Explain with example.,(F),CSE-3rd-year.pdf,1,384
3rd Year,5188eccd3883,explain with example,Explain with example.,"EVEN SEMESTER EXAMINATION, 2023 – 24",CSE-3rd-year.pdf,1,1031
3rd Year,fb71584c6913,explain with reasons what do you mean by domain name,Explain with reasons. What do you mean by domain name,UNIT-V,CSE-3rd-year.pdf,1,5660
3rd Year,cfe98e1008b4,explain with the help of diagram the global data flow analysis,Explain with the help of diagram the Global Data-Flow analysis.,[P.T.O.],CSE-3rd-year.pdf,1,1591
3rd Year,1a601ea53897,explain your answer with suitable reasoning qmoti,Explain your answer with suitable reasoning.qmoti,ARTIFICIAL INTELLIGENCE,CSE-3rd-year.pdf,1,5111
3rd Year,15552438ab0c,f describe the character,f. Describe the character,(4X5=20),CSE-3rd-year.pdf,1,506
3rd Year,8a1c5ec07edf,f what is ambiguous grammar,f) What is ambiguous grammar?,"EVEN SEMESTER EXAMINATION, 2023 – 24",CSE-3rd-year.pdf,1,1015
3rd Year,bcd0cd977e28,f why do we need non parametric tests,f) Why do we need Non-Parametric tests?,DATA ANALYTICS,CSE-3rd-year.pdf,1,6895
3rd Year,833196916234,find the order of parenthesization for,Find the order of parenthesization for,ANALYSIS OF ALGORITHMS,CSE-3rd-year.pdf,1,3050
3rd Year,94b74f370d00,find the same in the graph given below,Find the same in the graph given below:,TCS-604 // 2000,CSE-3rd-year.pdf,1,3588
3rd Year,693328ada68f,for interaction,for  interaction?,DATA ANALYTICS,CSE-3rd-year.pdf,1,6888
3rd Year,b4639356e761,frame realy,Frame Realy,10X2=20,CSE-3rd-year.pdf,1,942
3rd Year,7229ddabe893,from ipv to ipv,from IPV6 to IPV4?,10X2=20,CSE-3rd-year.pdf,1,933
3rd Year,4d8a2edfba13,from other runtimes available,from other runtimes available?,TCS-402/1960/4,CSE-3rd-year.pdf,1,4303
3rd Year,4783bae17969,give a formula in,Give a formula in,0=4X2,CSE-3rd-year.pdf,1,6279
3rd Year,6b7107b4fd66,give a single homogenous coordinate transformation matrix which will have same,"Give a single 3*3 homogenous coordinate transformation matrix, which will have same",Section D,CSE-3rd-year.pdf,1,1836
3rd Year,5b0350ea694c,give an analysis of worst case running time of quicksort when,Give an analysis of worst case running time of quicksort. When,SECTION-1,CSE-3rd-year.pdf,1,6398
3rd Year,e0254f0433ba,give an array of elements which is the worst case for,Give an array of 8 elements which is the worst case for,SECTION-1,CSE-3rd-year.pdf,1,6410
3rd Year,07d2c1783384,give an example for each tovor,Give an example for each tovor,DS-99721,CSE-3rd-year.pdf,1,5973
3rd Year,d4180360d9d5,give the syntax directed translation scheme to translate the while control,Give the syntax directed translation scheme to translate the while control,T -> T*FIF,CSE-3rd-year.pdf,1,1469
3rd Year,529a4c6b26fb,given a graph g and vertices s and t does g contain,"Given a graph G and vertices s and t, does G contain",SECTION-5,CSE-3rd-year.pdf,1,6526
3rd Year,85bf98024248,graphics,graphics?,(4X5=20),CSE-3rd-year.pdf,1,520
3rd Year,ad2eba147368,habiano,habiano?,TCS-601,CSE-3rd-year.pdf,1,6176
3rd Year,e1bf4555cb26,handed system to left handed system,handed system to left handed system?,UNIT - IV,CSE-3rd-year.pdf,1,2865
3rd Year,132b6cecdd65,hdfs operations in detail,HDFS operations in  detail?,DATA ANALYTICS,CSE-3rd-year.pdf,1,6921
3rd Year,80449f39da87,holding time is msec what is the maximum achieveable efficiency of the ring,holding time is 10 msec. What is the maximum achieveable efficiency of the ring?,10X2=20,CSE-3rd-year.pdf,1,910
3rd Year,1006ba32aa90,hood,Hood,TCS-603/2000/4,CSE-3rd-year.pdf,1,3339
3rd Year,b57cf465728c,hooned say,hooned say,ΑΠΟ ΠΟ,CSE-3rd-year.pdf,1,6220
3rd Year,8b88747dc205,how a query is processed and optimized c define data warehousing and its significance in decision making discuss the various components of a data warehouse architecture,how a query is processed and optimized. (10 marks)  c) Define data warehousing and its significance in decision-making. Discuss the various components of  a data warehouse architecture (10 marks),DATABASE MANAGEMENT SYSTEM,CSE-3rd-year.pdf,1,7033
3rd Year,0dce66a62ee6,how al handles reasoning under uncertainty,How Al handles reasoning under uncertainty?,[P.T.O.],CSE-3rd-year.pdf,1,223
3rd Year,acfb0f892fc9,how can a sequence of three address,How can a sequence of three-address,DOAG),CSE-3rd-year.pdf,1,5455
3rd Year,74e9afb1fc3f,how can the,How can the,COMPUTER NETWORKS,CSE-3rd-year.pdf,1,3143
3rd Year,6aacef0f69a9,how can you represent the resolution of predicate oorgeemlogic,(1) How can you represent the resolution of predicate oorgeeMlogic?,TCS-603/2000/4,CSE-3rd-year.pdf,1,3351
3rd Year,0f75f043dbc2,how do,How do,ANALYSIS OF ALGORITHMS,CSE-3rd-year.pdf,1,3061
3rd Year,15e037ae8d0c,how does ftp work,How does FTP work?,Q.4.,CSE-3rd-year.pdf,1,2534
3rd Year,14ccb53d76d9,how does it work,How does it work?,UNIT-V,CSE-3rd-year.pdf,1,5661
3rd Year,66d17617e8a9,how explain the following in context with interface,How (b) Explain the following in context with interface:,203-30T,CSE-3rd-year.pdf,1,4437
3rd Year,cb1bfc4a2919,how guided media differ from,How guided media differ from,COMPUTER NETWORKS,CSE-3rd-year.pdf,1,3204
3rd Year,b386e791d988,how is it connected to isophirsm and,How is it connected to 1-isophirsm and 2-,TCS-604 // 2000,CSE-3rd-year.pdf,1,3566
3rd Year,a3f6390c7378,how is segment table created,how is segment table created?,COMPUTER GRAPHICS,CSE-3rd-year.pdf,1,693
3rd Year,8aebc3fbedca,how is segment useful to draw and redraw a part of image and,How is segment useful to draw and redraw a part of image and,COMPUTER GRAPHICS,CSE-3rd-year.pdf,1,691
3rd Year,3e3ba6b95e56,how is subnet,How is subnet,COMPUTER NETWORKS,CSE-3rd-year.pdf,1,3148
3rd Year,8a31ed2e1431,how is subnet addressing is performed,How is subnet addressing is performed?,[P.T.O.],CSE-3rd-year.pdf,1,2251
3rd Year,3b535d44158a,how it is classified,How it is classified?,COMPUTER NETWORKS,CSE-3rd-year.pdf,1,3148
3rd Year,3b535d44158a,how it is classified,How it is classified?,[P.T.O.],CSE-3rd-year.pdf,1,2251
3rd Year,aeeeb3e3c3a5,how map reduce jobs run on yarn,how map reduce jobs run on  YARN?,DATA ANALYTICS,CSE-3rd-year.pdf,1,6932
3rd Year,b9b07c91f200,how s,How S,TCS-402/1960/4,CSE-3rd-year.pdf,1,4054
3rd Year,8a5eb27e2b0c,how tell and ask are used in first order logic,How TELL and ASK are used in first-order-logic?,TCS-603/2000/4,CSE-3rd-year.pdf,1,3343
3rd Year,e53d478287e6,how the grammar is made,How the grammar is made,Q1.,CSE-3rd-year.pdf,1,1303
3rd Year,ed4b436c7545,hypothesis,hypothesis?,DATA ANALYTICS,CSE-3rd-year.pdf,1,6876
3rd Year,eabef3e44734,identify whether following grammar is,identify whether following grammar is,"EVEN SEMESTER EXAMINATION, 2023 – 24",CSE-3rd-year.pdf,1,1015
3rd Year,958f57f57d72,if,If,TCS-605/000/3 1980,CSE-3rd-year.pdf,1,4379
3rd Year,cd666de6c2ec,if not convert it into nf c,"If not, convert it into 2 NF (10 marks)  c)",DATABASE MANAGEMENT SYSTEM,CSE-3rd-year.pdf,1,7007
3rd Year,21500f19a8ad,if so how these conflicts are resolved,If so how these conflicts are resolved?,OM HOR,CSE-3rd-year.pdf,1,5432
3rd Year,87e13b07c7db,if you want to view an assembly how delay,If you want to view an assembly how delay,TCS-402/1960/4,CSE-3rd-year.pdf,1,4329
3rd Year,2e45f4ee955e,illustrate with a,Illustrate with a,Q4.,CSE-3rd-year.pdf,1,4714
3rd Year,3e7ce50be818,immediately,immediately?,(OS=S-ON),CSE-3rd-year.pdf,1,3922
3rd Year,db6e9a72a666,implement a sample,Implement a sample,TCS-605/000/3 1980,CSE-3rd-year.pdf,1,4391
3rd Year,16d4272751c0,in code optimization islava sost aldstiu discuss the loop optimization technique,in code optimization?islava sost aldstiu (b) Discuss the loop optimization technique,DS-1079],CSE-3rd-year.pdf,1,5265
3rd Year,a490c9b99ffe,initial red black tree,initial red-black tree?,SECTION-2,CSE-3rd-year.pdf,1,6446
3rd Year,2293dd66907f,inting,inting?,-X-,CSE-3rd-year.pdf,1,4223
3rd Year,08e59743da37,is it possible to have two main in a c code,(d) Is it possible to have two Main() in a C# code?,TCS-605/000/3 1980,CSE-3rd-year.pdf,1,4379
3rd Year,c0bfa0cf104c,is n o,Is 22n O(2)?,SECTION-1,CSE-3rd-year.pdf,1,6389
3rd Year,d08302f8e0c6,is the system in a safe state,(ii) Is the system in a safe state?,(OS-SX0),CSE-3rd-year.pdf,1,3914
3rd Year,1c66f949006b,isomorphism,isomorphism?,TCS-604 // 2000,CSE-3rd-year.pdf,1,3568
3rd Year,f8b4f2ae5183,isomrphism with an example for each,isomrphism with an example for each.,M03-29T,CSE-3rd-year.pdf,1,6087
3rd Year,67073ca5d930,justify presentation layer carries,Justify: presentation layer carries,UNIT-IV,CSE-3rd-year.pdf,1,5777
3rd Year,5ae1c8a812f9,justify your,Justify your,BCST-604A,CSE-3rd-year.pdf,1,4772
3rd Year,5ae1c8a812f9,justify your,Justify your,COMPILER DESIGN,CSE-3rd-year.pdf,1,1153
3rd Year,81ce0b28dc0d,justify your answer,Justify your answer.,10X2=20,CSE-3rd-year.pdf,1,933
3rd Year,16276e4f79e4,knapsack problem,knapsack problem?,Q2.,CSE-3rd-year.pdf,1,7567
3rd Year,cce245fbd902,knowledge,knowledge?,(C),CSE-3rd-year.pdf,1,420
3rd Year,6ed91b8a65d0,knowledge based agents and what are their advantages and limitations,"knowledge-based agents, and what are their advantages and limitations?",ARTIFICIAL INTELLIGENCE,CSE-3rd-year.pdf,1,43
3rd Year,f2581530065d,knowledge representation,knowledge  representation?,ARTIFICIAL INTELLIGENCE,CSE-3rd-year.pdf,1,35
3rd Year,5e245bf761d3,list active edge list etc,"list, active edge list etc.?",COMPUTER GRAPHICS,CSE-3rd-year.pdf,1,650
3rd Year,12c1eed20ac6,list all the applications of fuzzy logic,List all the applications of fuzzy logic.,(F),CSE-3rd-year.pdf,1,394
3rd Year,a05d1512d08e,list four steps needed to run a program on a completely dedicated machine,List four steps needed to run a program on a completely dedicated machine.,OPERATING SYSTEM,CSE-3rd-year.pdf,1,6198
3rd Year,153308509fc3,list some applications appropriate for each of the display technologies,List some applications appropriate for each of the display technologies.,UNIT - I,CSE-3rd-year.pdf,1,2828
3rd Year,85176f4df7a0,list the different input and output components that are typically used with virtual reality systems also explain how users interact with a virtual scene displayed with different output devices,List the different input and output components that are typically used with virtual reality systems. Also explain how users interact with a virtual scene displayed with different output devices.,UNIT - I,CSE-3rd-year.pdf,1,2832
3rd Year,4932676b3342,list the operating characteristics for the following display technologies raster refresh system vector refresh system plasma panel and lcd how much time is spent scanning across each row of pixels during screen refresh on a raster system with a resolution of by and a refresh rate of frames per second,"List the operating characteristics for the following display technologies: raster refresh system, vector refresh system, plasma panel and LCD. How much time is spent scanning across each row of pixels during screen refresh on a raster system with a resolution of 1280 by 1024 and a refresh rate of 60 frames per second?",UNIT - I,CSE-3rd-year.pdf,1,2813
3rd Year,14dcfd7df2ff,list the properties of animating interactive programs,List the properties of Animating Interactive Programs?,[P.T.O.],CSE-3rd-year.pdf,1,814
3rd Year,9e338e73f4b1,matching how it is related to bipartite graph,matching. How it is related to bipartite graph?,GRAPH THEORY,CSE-3rd-year.pdf,1,3527
3rd Year,22b79dfd4d56,mention the criteria for achieving machine independent,Mention the criteria for achieving machine independent,BCST-602,CSE-3rd-year.pdf,1,4545
3rd Year,deef9b38c757,mention the objectives,Mention the objectives,TCS-601,CSE-3rd-year.pdf,1,3692
3rd Year,b0f07182404c,modes in pig,modes in PIG?,DATA ANALYTICS,CSE-3rd-year.pdf,1,6931
3rd Year,cd8fa10d9db7,modes in which they work,modes in which they work?,PTO,CSE-3rd-year.pdf,1,2083
3rd Year,d1854cae891e,n,1 0 7 8-N,E-1 0 7 8-N,CSE-3rd-year.pdf,1,5298
3rd Year,5a5c66d7b62a,need for sequence numbers,need for sequence numbers?,[P.T.O.],CSE-3rd-year.pdf,1,2257
3rd Year,72770f03078d,notxixitq qool or ausai what is basic block,notxixitq qool or ausai (d) What is basic block?,DOAG),CSE-3rd-year.pdf,1,5455
3rd Year,7a81af3e591a,o,O(2n)?,SECTION-1,CSE-3rd-year.pdf,1,6389
3rd Year,3d807cf5f355,of a frame buffer using the binary arithmetic operations,of a frame buffer using the binary arithmetic operations?,UNIT - V,CSE-3rd-year.pdf,1,2914
3rd Year,72ce1e1c7a7f,of assembly,of assembly?,TCS-402/1960/4,CSE-3rd-year.pdf,1,4329
3rd Year,cbcb0a0e947e,of network architecture,of network architecture?,ST021_005 | 103.170.7,CSE-3rd-year.pdf,1,2316
3rd Year,1397ee74ecbb,of the packet is corrupted what happens to the packet,of the packet is  corrupted. What happens to the packet?,COMPUTER NETWORKS,CSE-3rd-year.pdf,1,3143
3rd Year,cb5f781d0baa,on one processor how many different schedules mare possible,"on one processor, how many different schedules mare possible?",0=4X2,CSE-3rd-year.pdf,1,6279
3rd Year,e6b02ea05414,orgnuging,orgnuging,10X 2,CSE-3rd-year.pdf,1,456
3rd Year,4e6a0ad87a65,osi,OSI?,OSI?,CSE-3rd-year.pdf,1,867
3rd Year,ef366d1b5798,out the job of transition what are the various security threats,out the job of transition. What are the various security threats?,UNIT-IV,CSE-3rd-year.pdf,1,5778
3rd Year,516b9783fca5,p,P,TCS-601,CSE-3rd-year.pdf,1,6176
3rd Year,daa93cfff1f4,parameter for the algorithm,parameter for the algorithm ?,COMPUTER GRAPHICS,CSE-3rd-year.pdf,1,665
3rd Year,862e818c3eba,particular file,particular file?,DS-1077],CSE-3rd-year.pdf,1,6337
3rd Year,953b88970306,physical organization of nodes,physical organization of nodes?,DATA ANALYTICS,CSE-3rd-year.pdf,1,6933
3rd Year,b403bd8c4903,planning and how does it differ from classical state space planning,"planning, and how does it differ from classical state space planning?",ARTIFICIAL INTELLIGENCE,CSE-3rd-year.pdf,1,66
3rd Year,93372c2da389,possible disadvantage of using layered protocols,possible  disadvantage of using layered protocols?,COMPUTER NETWORKS,CSE-3rd-year.pdf,1,3139
3rd Year,a72f630f36d2,powers of,powers of 2?,DS-1077],CSE-3rd-year.pdf,1,6295
3rd Year,24d69dd6f3ab,prevention of deadlock,prevention of deadlock?,TCS-601/1970/4,CSE-3rd-year.pdf,1,3812
3rd Year,a5a0d15d4ae8,problem,problem?,Q5.,CSE-3rd-year.pdf,1,7624
3rd Year,c854b1a23f9f,problem is np complete,problem is NP-Complete?,SECTION-5,CSE-3rd-year.pdf,1,6526
